"4.1.1 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Connection, general"
"101.2.6 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "PE male pin, 2 connection points"
"101.2.7 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "PE female pin, 2 connection points"
"101.2.9 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "N male and female pin"
"101.2.10 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "N male pin, 2 connection points"
"101.2.11 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "N female pin, 2 connection points"
"101.2.12 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "SH male and female pin"
"101.2.13 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "SH male pin, 2 connection points"
"101.2.14 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "SH female pin, 2 connection points"
"101.98.1 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Graphic " , "Graphic"
"101.99.1 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, variable " , "Pin, variable"
"101.99.2 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, variable " , "Male pin, variable"
"101.99.3 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, variable " , "Female pin, variable"
"102.1.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal strip definition " , "Terminal strip definition " , "Terminal strip definition"
"103.1.1 " , "Electrical engineering " , "Terminals and plugs " , "Plug definition " , "Plug definition " , "Plug definition for male and female pins"
"103.1.2 " , "Electrical engineering " , "Terminals and plugs " , "Plug definition " , "Plug definition " , "Plug definition for male pins"
"103.1.3 " , "Electrical engineering " , "Terminals and plugs " , "Plug definition " , "Plug definition " , "Plug definition for female pins"
"104.1.1 " , "Electrical engineering " , "Terminals and plugs " , "Isolating terminal " , "Isolating terminal, 2 connection points " , "Isolating terminal, 2 connection points"
"104.2.1 " , "Electrical engineering " , "Terminals and plugs " , "Isolating terminal " , "Isolating terminal, 3 connection points " , "Isolating terminal, 3 connection points"
"104.3.1 " , "Electrical engineering " , "Terminals and plugs " , "Isolating terminal " , "Isolating terminal, 4 connection points " , "Isolating terminal, 4 connection points"
"104.98.1 " , "Electrical engineering " , "Terminals and plugs " , "Isolating terminal " , "Graphic " , "Graphic"
"104.99.1 " , "Electrical engineering " , "Terminals and plugs " , "Isolating terminal " , "Isolating terminal, variable " , "Isolating terminal, variable"
"105.1.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal accessories " , "Terminal accessories " , "General"
"105.1.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal accessories " , "Terminal accessories " , "End angle"
"105.1.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal accessories " , "Terminal accessories " , "Partition"
"105.1.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal accessories " , "Terminal accessories " , "Terminator"
"105.1.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal accessories " , "Terminal accessories " , "Cover"
"106.1.0 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 2 connection points " , "Female receptacle, general, 2 connection points"
"106.1.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 2 connection points " , "Female receptacle without PE, 2 connection points"
"106.2.0 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 3 connection points " , "Female receptacle, general, 3 connection points"
"106.2.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 3 connection points " , "Female receptacle with PE, 3 connection points"
"106.2.2 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 3 connection points " , "Female receptacle without PE, 3 connection points"
"106.3.0 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 4 connection points " , "Female receptacle, general, 4 connection points"
"106.3.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 4 connection points " , "Female receptacle with PE, 4 connection points"
"106.3.2 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 4 connection points " , "Female receptacle without PE, 4 connection points"
"106.4.0 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 5 connection points " , "Female receptacle, general, 5 connection points"
"106.4.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle, 5 connection points " , "Female receptacle with PE, 5 connection points"
"106.5.0 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 2 connection points " , "Plug, general, 2 connection points"
"106.5.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 2 connection points " , "Plug without PE, 2 connection points"
"106.6.0 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 3 connection points " , "Plug, general, 3 connection points"
"106.6.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 3 connection points " , "Plug with PE, 3 connection points"
"106.6.2 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 3 connection points " , "Plug without PE, 3 connection points"
"106.7.0 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 4 connection points " , "Plug, general, 4 connection points"
"106.7.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 4 connection points " , "Plug with PE, 4 connection points"
"106.7.2 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 4 connection points " , "Plug without PE, 4 connection points"
"106.8.0 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 5 connection points " , "Plug, general, 5 connection points"
"106.8.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Plugs, 5 connection points " , "Plug with PE, 5 connection points"
"106.98.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Graphic " , "Graphic"
"106.99.1 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle / plug, variable " , "Female receptacle with PE, variable"
"106.99.2 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle / plug, variable " , "Female receptacle, variable"
"106.99.3 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle / plug, variable " , "Plug with PE, variable"
"106.99.4 " , "Electrical engineering " , "Terminals and plugs " , "Female receptacle " , "Female receptacle / plug, variable " , "Plug, variable"
"200.1.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil, general"
"200.1.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil for power contactor"
"200.1.2 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil, with pick-up delay"
"200.1.3 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil with drop-out delay"
"200.1.4 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil, with pick-up and drop-out delay"
"200.1.5 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil, clock generator"
"200.1.6 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil, AC"
"200.1.7 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil, remanent relay"
"200.1.8 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil, multi-function relay"
"200.1.9 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Current circuit breaker"
"200.1.10 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, 2 connection points " , "Coil for auxiliary relay"
"200.2.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil with special drive, 3 connection points " , "Coil, general, 3 connection points"
"200.2.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil with special drive, 3 connection points " , "Coil, 3 connection points"
"200.2.2 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil with special drive, 3 connection points " , "Coil, with pick-up delay, 3 connection points"
"200.2.3 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil with special drive, 3 connection points " , "Coil, with drop-out delay, 3 connection points"
"200.2.4 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil with special drive, 3 connection points " , "Coil, with pick-up and drop-out delay, 3 connection points"
"200.2.5 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil with special drive, 3 connection points " , "Clock generator, 3 connection points"
"200.2.7 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil with special drive, 3 connection points " , "Remanent relay, 3 connection points"
"200.2.8 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil with special drive, 3 connection points " , "Multi-function relay, 3 connection points"
